uap_source_id,source_type,first_name,last_name,role,organization,website,podcast_name,rss_feed,focus_areas,language,country,city,credibility_tier,social_media,email,phone,notes,data_source
UAP-PRS-elizondolue-0013,person,Lue,Elizondo,researcher;whistleblower,,https://luiselizondo-official.com,,,aerial;military;disclosure,en,USA,Washington DC,1,@luiselizondo,,,Fd AATIP-chef Pentagon. Central disclosure-figur.,manual_clio
UAP-PRS-mellonchristophe-0014,person,Christopher,Mellon,official;researcher,,https://christophermellon.net,,,policy;disclosure;military,en,USA,Washington DC,1,@christophermellon,,,Fd biträdande försvarsminister underrättelse. TTSA-rådgivare.,manual_clio
UAP-PRS-gruschdavid-0015,person,David,Grusch,whistleblower,,,,,aerial;crash_retrieval;disclosure,en,USA,Washington DC,1,@daviddgrusch,,,NRO/NGA-analytiker. Congressional testimony 2023 om crash retrieval-program.,manual_clio
UAP-PRS-nellkarl-0016,person,Karl,Nell,whistleblower;official,,,,,aerial;crash_retrieval;disclosure,en,USA,,1,,,,Pensionerad colonel. Grusch-korroboratör. UAP Task Force.,manual_clio
UAP-PRS-gravesryan-0017,person,Ryan,Graves,researcher;pilot,Americans for Safe Aerospace,https://americansforspacefreedom.org,,,aerial;pilot;safety,en,USA,,1,@uncertainvector,,,Fd F/A-18-pilot. Congressional testimony.,manual_clio
UAP-PRS-fravordavid-0018,person,David,Fravor,pilot,,,,,aerial;pilot;military,en,USA,,1,@davefravorUSN,,,Fd commander USS Nimitz-incident 2004. Tic Tac-vittne.,manual_clio
UAP-PRS-puthoffhal-0019,person,Hal,Puthoff,scientist;researcher,EarthTech,https://earthtech.org,,,physics;consciousness;crash_retrieval,en,USA,Austin TX,1,@halputhoff,,,Fd SRI. EarthTech. TTSA-vetenskaplig rådgivare.,manual_clio
UAP-PRS-daviseric-0020,person,Eric,Davis,scientist;researcher,EarthTech,https://earthtech.org,,,physics;crash_retrieval;materials,en,USA,Austin TX,1,,,,EarthTech. Wilson-Davis-memo.,manual_clio
UAP-PRS-nolangarry-0021,person,Garry,Nolan,scientist;researcher,Stanford,https://garrynolan.com,,,biology;materials;crash_retrieval,en,USA,Stanford CA,1,@garrypnolan,,,Stanfordprofessor patologi. NHI-biologiskt material.,manual_clio
UAP-PRS-knuthkevin-0022,person,Kevin,Knuth,scientist;researcher,UAlbany,https://kevinknuth.com,,,physics;aerial,en,USA,Albany NY,1,@kevinknuth,,,UAlbany fysikprofessor. UAP-rörelsefysik.,manual_clio
UAP-PRS-loebavi-0023,person,Avi,Loeb,scientist;researcher,Harvard,https://loebgroup.org,Galileo Project,,space;materials;exoplanet,en,Israel,Cambridge MA,1,@aviloeb,,,Harvard-astrofysiker. Galileo Project. Oumuamua-hypotes.,manual_clio
UAP-PRS-kellehercolm-0024,person,Colm,Kelleher,scientist,NIDS,,,,biology;consciousness;crash_retrieval,en,USA,Las Vegas NV,1,,,,Biokemist. Skinwalker Ranch. NIDS.,manual_clio
UAP-PRS-villarroelbeatri-0025,person,Beatriz,Villarroel,scientist;researcher,Stockholm University,https://vasco.wholetomato.com,,,space;historical;transients,sv;en,Sweden,Stockholm,1,@beatrizvillarr,,,VASCO-projektet. Korrelation kärnvapenprov / 1952 Washington.,manual_clio
UAP-PRS-teodoranimassimo-0026,person,Massimo,Teodorani,scientist,,,,,aerial;physics;hessdalen,it,Italy,Bologna,1,,,,Astrofysiker. Projekt Hessdalen. Plasma-fenomen.,manual_clio
UAP-PRS-stranderling-0027,person,Erling,Strand,scientist,Ostfold University,https://hessdalen.org,,,aerial;physics;hessdalen,no,Norway,Østfold,1,,,,Leder Project Hessdalen.,manual_clio
UAP-PRS-haugebjrngitle-0028,person,Bjørn Gitle,Hauge,scientist,,https://hessdalen.org,,,aerial;physics;hessdalen,no,Norway,,1,,,,Hessdalen. Elektromagnetisk analys.,manual_clio
UAP-PRS-vallejacques-0029,person,Jacques,Vallée,researcher;scientist,,,,,aerial;consciousness;historical,fr,France,Paris,1,@jacquesvallee,,,Fd astrofysiker/VC Silicon Valley. Passport to Magonia.,manual_clio
UAP-PRS-friedmanstanton-0030,person,Stanton,Friedman,researcher;author,,,,,aerial;crash_retrieval;historical,en,Canada,Fredericton NB,1,,,,Fd kärnfysiker. Cosmic Watergate. Deceased 2019.,manual_clio
UAP-PRS-hynekjallen-0031,person,J. Allen,Hynek,scientist;researcher,,,,,aerial;historical;official,en,USA,Chicago IL,1,,,,Fd Northwestern-astronomer. Project Blue Book-rådgivare. Deceased 1986.,manual_clio
UAP-PRS-dolanrichard-0032,person,Richard,Dolan,researcher;author,,https://richarddolanpress.com,Richard Dolan Show,https://feeds.libsyn.com/richard-dolan-show/rss,historical;disclosure;aerial,en,USA,Rochester NY,1,@rdolanufobooks,,,Historiker. UFOs and the National Security State.,manual_clio
UAP-PRS-sturrockpeter-0033,person,Peter,Sturrock,scientist;researcher,Stanford,,,,physics;aerial;historical,en,USA,Stanford CA,1,,,,Fd Stanfordprofessor astrofysik. Sturrock-panelen 1997.,manual_clio
UAP-PRS-rodeghiermark-0034,person,Mark,Rodeghier,researcher,CUFOS,https://cufos.org,,,aerial;historical;statistics,en,USA,Chicago IL,1,,,,J. Allen Hynek Center for UFO Studies.,manual_clio
UAP-PRS-swordsmichael-0035,person,Michael,Swords,researcher;academic,,,,,historical;aerial;academic,en,USA,Kalamazoo MI,1,,,,UFOs and Government (medförfattare).,manual_clio
UAP-PRS-powellrobert-0036,person,Robert,Powell,researcher,SCU,https://ufoscientific.com,,,aerial;physics;scientific,en,USA,,1,,,,SCU-grundare. Vetenskaplig UAP-analys.,manual_clio
UAP-PRS-sparksbrad-0037,person,Brad,Sparks,researcher,,,,,historical;aerial;statistics,en,USA,,1,,,,UFO-statistik och historisk analys. CUFOS-samarbete.,manual_clio
UAP-PRS-maccabeebruce-0038,person,Bruce,Maccabee,scientist;researcher,,https://brumac.mysite.com,,,aerial;photographic;physics,en,USA,,2,,,,Fd Naval Surface Warfare Center. UAP-fotoanalys.,manual_clio
UAP-PRS-hastingsrobert-0039,person,Robert,Hastings,researcher,,https://ufohastings.com,,,nuclear;military;aerial,en,USA,,1,@rfhastings,,,UAP vid kärnvapenanläggningar.,manual_clio
UAP-PRS-corbelljeremy-0040,person,Jeremy,Corbell,filmmaker;podcaster,,https://jeremycorbell.com,Weaponized,https://feeds.megaphone.fm/weaponized,aerial;crash_retrieval;whistleblower,en,USA,Los Angeles CA,2,@jeremycorbell,,,Dokumentärfilmare. Weaponized-podcast med Knapp.,manual_clio
UAP-PRS-foxjames-0041,person,James,Fox,filmmaker,,https://jamesfox.com,,,aerial;historical;disclosure,en,USA,Los Angeles CA,1,@jamesfoxufo,,,The Phenomenon. Moment of Contact (Varginha).,manual_clio
UAP-PRS-moultonhowelinda-0042,person,Linda,Moulton Howe,journalist;podcaster,Earthfiles,https://earthfiles.com,Earthfiles,https://feeds.megaphone.fm/earthfiles,aerial;animal_mutilation;crop_circles;consciousness,en,USA,,2,@earthfiles,,,Investigativ journalist. Animal mutilation-forskning.,manual_clio
UAP-PRS-churchjimmy-0043,person,Jimmy,Church,podcaster,,https://jimmychurch.com,Fade to Black,https://feeds.megaphone.fm/fadetoblack,aerial;consciousness;disclosure,en,USA,,2,@jimmychurchradio,,,Nightly UAP-talk show.,manual_clio
UAP-PRS-spragueryan-0044,person,Ryan,Sprague,journalist;podcaster,,https://ryansprague.com,Somewhere in the Skies,https://feeds.libsyn.com/somewhere-in-the-skies/rss,aerial;witnesses;disclosure,en,USA,,2,@ryangsprague,,,Humanistisk approach till UAP-vittnen.,manual_clio
UAP-PRS-greenewaldjrjohn-0045,person,John,Greenewald Jr,researcher;podcaster,The Black Vault,https://theblackvault.com,The Black Vault Podcast,https://feeds.buzzsprout.com/1601640.rss,disclosure;official;foia,en,USA,,1,@blackvaultcom,,,FOIA-specialist. Tusentals UAP-dokument.,manual_clio
UAP-PRS-strieberwhitley-0046,person,Whitley,Strieber,author;podcaster,,https://unknowncountry.com,Dreamland,https://feeds.unknowncountry.com/dreamland,consciousness;abduction,en,USA,,2,@whitleystrieber,,,Communion. Dreamland-podcast.,manual_clio
UAP-PRS-greersteven-0047,person,Steven,Greer,researcher,Disclosure Project,https://siriusdisclosure.com,,,consciousness;disclosure;crash_retrieval,en,USA,,2,@stevengreer,,,Grundare Disclosure Project. CE5-protokoll. Kontroversiell.,manual_clio
UAP-PRS-delongetom-0048,person,Tom,DeLonge,author;entrepreneur,TTSA,https://tothestars.academy,,,aerial;disclosure;consciousness,en,USA,San Diego CA,2,@tomdelonge,,,Grundare TTSA. Blink-182. AATIP-videorna.,manual_clio
UAP-PRS-camerongrant-0049,person,Grant,Cameron,researcher,,https://presidentialufo.com,,,historical;disclosure;consciousness,en,Canada,Winnipeg MB,2,@grantcameron,,,Presidential UFO. Forskar om presidenter och UAP.,manual_clio
UAP-PRS-mackjohn-0050,person,John,Mack,researcher;academic,Harvard,,,,abduction;consciousness;psychology,en,USA,Cambridge MA,1,,,,Fd Harvard-psykiatriprofessor. Deceased 2004.,manual_clio
UAP-PRS-hopkinsbudd-0051,person,Budd,Hopkins,researcher,Intruders Foundation,,,,abduction;consciousness,en,USA,New York NY,1,,,,Pionjär abduction-forskning. Deceased 2011.,manual_clio
UAP-PRS-jacobsdavid-0052,person,David,Jacobs,researcher;academic,Temple University,https://ufoabduction.com,,,abduction;consciousness,en,USA,Philadelphia PA,2,,,,Temple University (em.). Hypnoterapi och abduction.,manual_clio
UAP-PRS-mardenkathleen-0053,person,Kathleen,Marden,researcher,,https://kathleenmarden.com,,,abduction;consciousness;historical,en,USA,,2,@kathy_marden,,,Niece till Betty Hill. Abduction-forskning.,manual_clio
UAP-PRS-waltontravis-0054,person,Travis,Walton,witness,,https://travis-walton.com,,,abduction;aerial;historical,en,USA,Snowflake AZ,2,@travis_walton,,,Fire in the Sky. Abduktion 1975.,manual_clio
UAP-PRS-lazarbob-0055,person,Bob,Lazar,witness;researcher,,,,,crash_retrieval;physics;propulsion,en,USA,Las Vegas NV,2,@boblazar,,,Area 51/S-4. Reverse-engineered craft. Kontroversiell.,manual_clio
UAP-PRS-bassettsteven-0056,person,Steven,Bassett,researcher;activist,PRG,https://paradigmresearchgroup.org,,,disclosure;policy;political,en,USA,Washington DC,2,@paradigmrg,,,Paradigm Research Group. Lobbyist för Congressional UAP-hearing.,manual_clio
UAP-PRS-davenportpeter-0057,person,Peter,Davenport,researcher,NUFORC,https://nuforc.org,,,aerial;reporting,en,USA,Harrington WA,1,,,,Chef för NUFORC.,manual_clio
UAP-PRS-sheehandaniel-0058,person,Daniel,Sheehan,researcher;lawyer,Romero Institute,https://romero-institute.org,,,disclosure;legal;policy,en,USA,Santa Cruz CA,1,@danielpsheehan,,,Advokat. UAP-disclosure juridik.,manual_clio
UAP-PRS-feschinofrank-0059,person,Frank,Feschino,researcher;author,,https://frankfeschino.com,,,aerial;historical;military,en,USA,,2,,,,Shoot Them Down. 1952 Washington D.C.-vågen.,manual_clio
UAP-PRS-pasulkadianawals-0060,person,Diana Walsh,Pasulka,academic,UNC Wilmington,https://dianawalshpasulka.com,,,consciousness;academic;religion,en,USA,Wilmington NC,1,,,,American Cosmic. UAP och religion.,manual_clio
UAP-PRS-kripaljeffrey-0061,person,Jeffrey,Kripal,academic,Rice University,https://ruf.rice.edu,,,consciousness;academic;religion,en,USA,Houston TX,1,,,,Authors of the Impossible. UAP och mysticism.,manual_clio
UAP-PRS-westmick-0062,person,Mick,West,researcher;debunker,Metabunk,https://metabunk.org,,,debunking;aerial;analysis,en,USA,,2,@mickwest,,,Metabunk.org. Systematisk debunking.,manual_clio
UAP-PRS-sheafferrobert-0063,person,Robert,Sheaffer,researcher;debunker,,https://badufos.blogspot.com,,,debunking;historical,en,USA,,2,@rshfeaffer,,,CSICOP. Bad UFOs-bloggen.,manual_clio
UAP-PRS-obergjames-0064,person,James,Oberg,researcher;debunker,,,,,debunking;space;orbital,en,USA,,1,,,,Fd NASA. Rymdfenomen och misidentifikation.,manual_clio
UAP-PRS-shostakseth-0065,person,Seth,Shostak,scientist;debunker,SETI Institute,https://seti.org,,,seti;debunking;space,en,USA,Mountain View CA,1,@sethshostak,,,Fd SETI Institute. Skeptisk kommentator.,manual_clio
UAP-PRS-tysonneildegrass-0066,person,Neil deGrasse,Tyson,scientist;debunker,Hayden Planetarium,https://haydenplanetarium.org,,,space;debunking;aerial,en,USA,New York NY,1,@neiltyson,,,Astrofysiker. Skeptisk men öppen.,manual_clio
UAP-PRS-colavitojason-0067,person,Jason,Colavito,researcher;debunker,,https://jasoncolavito.com,,,debunking;ancient_aliens;historical,en,USA,,2,@jasoncolavito,,,Kritisk analys av ancient aliens och UAP-pseudovetenskap.,manual_clio
UAP-PRS-kakumichio-0068,person,Michio,Kaku,scientist,,https://mkaku.org,,,physics;space;consciousness,en,USA,New York NY,1,@michiokaku,,,Teoretisk fysiker. Kommenterar regelbundet UAP.,manual_clio
UAP-PRS-popenick-0069,person,Nick,Pope,journalist;researcher,,https://nickpope.net,,,aerial;policy;official,en,UK,London,1,@nickpope99,,,Fd MoD UAP-utredare. Författare och kommentator.,manual_clio
UAP-PRS-clarkedavid-0070,person,David,Clarke,researcher;academic,Sheffield Hallam,https://drdavidclarke.co.uk,,,historical;official;uk,en,UK,Sheffield,1,@davidclarkeufo,,,Journalism prof. Brittiska MoD UAP-filer.,manual_clio
UAP-PRS-goodtimothy-0071,person,Timothy,Good,researcher;author,,,,,aerial;historical;disclosure,en,UK,London,1,,,,Above Top Secret. Alien Liaison.,manual_clio
UAP-PRS-randlesjenny-0072,person,Jenny,Randles,researcher;author,BUFORA,,,,historical;uk;abduction,en,UK,Manchester,1,,,,UFO Reality. Fd BUFORA.,manual_clio
UAP-PRS-redfernnick-0073,person,Nick,Redfern,researcher;author,,https://nickredfern.blogspot.com,,,aerial;conspiracy;historical,en,UK,,2,@nickredfernFort,,,Prolific UFO-författare. Brittisk bakgrund.,manual_clio
UAP-PRS-heseltinegary-0074,person,Gary,Heseltine,researcher,UFO Truth,https://ufotruth.co.uk,UFO Truth Magazine,,aerial;disclosure;official,en,UK,Yorkshire,2,@garyheseltine,,,UFO Truth Magazine. Fd polisinspektör.,manual_clio
UAP-PRS-mantlephilip-0075,person,Philip,Mantle,researcher,,https://flyingsaucerreview.com,,,aerial;historical;abduction,en,UK,Yorkshire,2,@philip_mantle,,,Brittisk UFO-historiker. Fd MUFON UK-chef.,manual_clio
UAP-PRS-koiisaac-0076,person,Isaac,Koi,researcher,,https://isaackoi.com,,,historical;legal;aerial,en,UK,London,1,,,,Jurist och UAP-historiker. Digitaliserat arkiv.,manual_clio
UAP-PRS-brunigeorgina-0077,person,Georgina,Bruni,researcher;author,,,,,historical;uk;official,en,UK,London,2,,,,You Can't Tell the People — Rendlesham.,manual_clio
UAP-PRS-shoughmartin-0078,person,Martin,Shough,researcher,,,,,aerial;physics;historical,en,UK,,1,,,,Analytisk UAP-forskning. NARCAP-samarbeten.,manual_clio
UAP-PRS-hallidayron-0079,person,Ron,Halliday,researcher,,,,,historical;uk;scotland,en,UK,Scotland,2,,,,Skotsk UFO-historia.,manual_clio
UAP-PRS-campbellsteuart-0080,person,Steuart,Campbell,researcher;debunker,,,,,debunking;historical;uk,en,UK,Edinburgh,2,,,,Skeptisk brittisk UAP-analys.,manual_clio
UAP-PRS-mckinnongary-0081,person,Gary,McKinnon,researcher;hacker,,,,,disclosure;crash_retrieval;space,en,UK,London,2,,,,Hackade NASA/Pentagon 2002. Extraditionsfall.,manual_clio
UAP-PRS-svahnclas-0082,person,Clas,Svahn,researcher,AFU,https://ufo.se,,,historical;nordic;aerial,sv,Sweden,Stockholm,1,@classvahn,,,AFU. Sveriges mest citerade UAP-historiker.,manual_clio
UAP-PRS-liljegrenanders-0083,person,Anders,Liljegren,researcher,AFU,https://ufo.se,,,historical;nordic;ghost_rockets,sv,Sweden,Norrköping,1,,,,AFU-grundare. Spökraketerna 1946.,manual_clio
UAP-PRS-bartollkarlgsta-0084,person,Karl-Gösta,Bartoll,researcher,,,,,historical;nordic;ghost_rockets,sv,Sweden,,2,,,,Spökrake-utredare. FRA-samarbete 1940-talet.,manual_clio
UAP-PRS-olzonmartin-0085,person,Martin,Olzon,researcher,AFU,https://ufo.se,,,historical;nordic,sv,Sweden,,2,,,,AFU-arkivarie.,manual_clio
UAP-PRS-rehngosta-0086,person,Gosta,Rehn,researcher,,,,,historical;nordic,sv,Sweden,,2,,,,Tidig svensk UFO-forskare.,manual_clio
UAP-PRS-brnneolejonny-0087,person,Ole Jonny,Brænne,researcher,,,,,historical;nordic;ghost_rockets,no,Norway,Oslo,2,,,,Norsk UFO-historiker. Spökraketerna.,manual_clio
UAP-PRS-havikleif-0088,person,Leif,Havik,researcher,,,,,historical;nordic,no,Norway,,2,,,,Norsk UFO-forskning.,manual_clio
UAP-PRS-viitajorma-0089,person,Jorma,Viita,researcher,,,,,historical;nordic,fi,Finland,Helsinki,2,,,,Finsk UAP-forskning.,manual_clio
UAP-PRS-hansenkim-0090,person,Kim,Hansen,researcher,,,,,historical;nordic,da,Denmark,Copenhagen,2,,,,Dansk UFO-historia.,manual_clio
UAP-PRS-henningsenole-0091,person,Ole,Henningsen,researcher,,,,,historical;nordic,da,Denmark,,2,,,,Dansk UAP-historiker.,manual_clio
UAP-PRS-bourdaisgildas-0092,person,Gildas,Bourdais,researcher,,,,,historical;disclosure;official,fr,France,Paris,1,,,,COMETA-rapporten. Franska UFO-historiker.,manual_clio
UAP-PRS-aigoinmichel-0093,person,Michel,Aigoin,official,IHEDN,,,,aerial;official,fr,France,,1,,,,COMETA-rapporten 1999. Fd IHEDN.,manual_clio
UAP-PRS-sillardyves-0094,person,Yves,Sillard,official,CNES,,,,aerial;official,fr,France,,1,,,,Chef CNES. COMETA-deltagare.,manual_clio
UAP-PRS-gresljeangabriel-0095,person,Jean-Gabriel,Greslé,official;researcher,Air France,,,,aerial;official;pilot,fr,France,,1,,,,Fd Air France-pilot. COMETA-bidragsgivare.,manual_clio
UAP-PRS-mariefranck-0096,person,Franck,Marie,researcher,,,,,historical;aerial,fr,France,,2,,,,Traditionell UAP-forskning i Frankrike.,manual_clio
UAP-PRS-riberaantonio-0097,person,Antonio,Ribera,researcher;author,,,,,historical;latin_america,es,Spain,Barcelona,1,,,,Spansk UAP-pionjär. Deceased.,manual_clio
UAP-PRS-ballesterolmosvi-0098,person,Vicente-Juan,Ballester Olmos,researcher,FOTOCAT,https://fotocat.blogspot.com,,,aerial;historical;debunking,es,Spain,Valencia,2,@vicentejballest,,,FOTOCAT-projektet. Rigorös fotoanalys.,manual_clio
UAP-PRS-borrazaymerichma-0099,person,Manuel,Borraz Aymerich,researcher;debunker,,https://mbufo.blogspot.com,,,debunking;historical;aerial,es,Spain,,2,,,,Kritisk analys av spanska UAP-fall.,manual_clio
UAP-PRS-pinottiroberto-0100,person,Roberto,Pinotti,researcher,CUN,https://cun-italia.net,,,historical;aerial,it,Italy,Florence,1,,,,Chef CUN — Centro UFOlogico Nazionale.,manual_clio
UAP-PRS-forgioneadriano-0101,person,Adriano,Forgione,journalist,Fenomenum,https://fenomeniumag.it,,,historical;aerial,it,Italy,,2,,,,Fenomenum Magazine.,manual_clio
UAP-PRS-harrispaola-0102,person,Paola,Harris,researcher,,https://paolaharrisintl.com,,,aerial;disclosure;historical,en,Italy,Denver CO,2,@paolaharris,,,Italian-amerikan. UAP-forskning.,manual_clio
UAP-PRS-polidoromassimo-0103,person,Massimo,Polidoro,researcher;debunker,CICAP,https://massimopolidoro.com,,,debunking;historical;critical,it,Italy,Milan,2,,,,CICAP. Italiensk skeptiker.,manual_clio
UAP-PRS-castellanflavio-0104,person,Flavio,Castellan,researcher,,,,,historical;aerial,it,Italy,,2,,,,Italiensk UAP-historiker.,manual_clio
UAP-PRS-hesemannmichael-0105,person,Michael,Hesemann,researcher;author,,https://michaelhesemann.com,,,aerial;historical;disclosure,de,Germany,Düsseldorf,1,,,,Die UFO-Frage. Producent.,manual_clio
UAP-PRS-vonludwigerillob-0106,person,Illobrand,von Ludwiger,scientist,MUFON-CES,,,,aerial;physics;historical,de,Germany,Munich,1,,,,MUFON-CES. Fysikanalys av tyska UAP-fall.,manual_clio
UAP-PRS-hausdorfhartwig-0107,person,Hartwig,Hausdorf,researcher;author,,,,,aerial;historical;ancient_aliens,de,Germany,,2,,,,Tysk UFO-författare.,manual_clio
UAP-PRS-meessenauguste-0108,person,Auguste,Meessen,scientist,SOBEPS,,,,aerial;physics;belgium,fr,Belgium,Brussels,1,,,,Fysikaprofessor. Belgiska vågen 1989–91.,manual_clio
UAP-PRS-azhazhavladimir-0109,person,Vladimir,Azhazha,researcher,,,,,aerial;historical;underwater,ru,Russia,Moscow,2,,,,Rysk oceanograf. USO-expert.,manual_clio
UAP-PRS-zigelfelix-0110,person,Felix,Zigel,scientist,Moscow Aviation Institute,,,,aerial;historical;physics,ru,Russia,Moscow,1,,,,Fd Moskva Aviation Institute. UAP-pionjär. Deceased.,manual_clio
UAP-PRS-subbotinnikolai-0111,person,Nikolai,Subbotin,researcher,RUFORS,https://rufors.ru,,,aerial;reporting;russia,ru,Russia,Perm,2,,,,RUFORS — Russian UFO Research Station.,manual_clio
UAP-PRS-belimovgennady-0112,person,Gennady,Belimov,journalist,,,,,aerial;historical;russia,ru,Russia,,2,,,,Rysk UAP-journalist.,manual_clio
UAP-PRS-plaksinalexander-0113,person,Alexander,Plaksin,researcher,,,,,aerial;historical;russia,ru,Russia,,2,,,,Rysk UAP-historiker.,manual_clio
UAP-PRS-shilisun-0114,person,Sun,Shili,researcher,CURO,,,,disclosure;space;asia,zh,China,Beijing,2,,,,Grundare China UFO Research Org. Fd diplomat.,manual_clio
UAP-PRS-jingpingzhang-0115,person,Zhang,Jingping,researcher,CURO,,,,aerial;asia;reporting,zh,China,Beijing,2,,,,Kinesisk UFO Research Organisation.,manual_clio
UAP-PRS-linhungchu-0116,person,Hung-Chu,Lin,researcher,,,,,aerial;asia,zh,Taiwan,Taipei,2,,,,Taiwanesisk UFO-forskning.,manual_clio
UAP-PRS-nakamuratsutomu-0117,person,Tsutomu,Nakamura,researcher,,,,,aerial;historical;asia,ja,Japan,Tokyo,2,,,,Japansk UAP-forskning.,manual_clio
UAP-PRS-yaoijunichi-0118,person,Junichi,Yaoi,journalist,,,,,aerial;historical,ja,Japan,Tokyo,2,,,,Japansk UAP-journalist.,manual_clio
UAP-PRS-nakagawahiroshi-0119,person,Hiroshi,Nakagawa,researcher,,,,,aerial;historical;asia,ja,Japan,,2,,,,Japansk UFO-historia.,manual_clio
UAP-PRS-gevaerdademarjos-0120,person,Ademar José,Gevaerd,journalist,UFO Magazine Brasil,https://ufo.com.br,,,aerial;historical;latin_america,pt,Brazil,Curitiba,1,@ajogevaerd,,,UFO Magazine Brasil. Ledande brasiliansk UAP-täckning.,manual_clio
UAP-PRS-lafaceguilherme-0121,person,Guilherme,Laface,journalist,OVNI Oficial,https://ovnioficial.com,,,aerial;brazil;disclosure,pt,Brazil,São Paulo,2,,,,OVNI Oficial YouTube/nyhetskanal.,manual_clio
UAP-PRS-boaventuraedison-0122,person,Edison,Boaventura,researcher,,,,,aerial;latin_america;brazil,pt,Brazil,São Paulo,2,,,,Brasiliansk UAP-forskning.,manual_clio
UAP-PRS-borgesalexandre-0123,person,Alexandre,Borges,researcher,,,,,aerial;latin_america;brazil,pt,Brazil,,2,,,,Brasiliansk UAP-historiker.,manual_clio
UAP-PRS-bravorodrigo-0124,person,Rodrigo,Bravo,official,CEFAA,https://cefaa.gob.cl,,,aerial;official;pilot,es,Chile,Santiago,1,,,,Fd chef CEFAA. Militärpilot.,manual_clio
UAP-PRS-arcinegasjulio-0125,person,Julio,Arcinegas,researcher,CEFAA,https://cefaa.gob.cl,,,aerial;official;latin_america,es,Chile,Santiago,2,,,,CEFAA-analytiker.,manual_clio
UAP-PRS-maussanjaime-0126,person,Jaime,Maussan,journalist,,https://jaimemaussan.com,,,aerial;latin_america;disclosure,es,Mexico,Mexico City,2,@jaimemaussan1,,,Mexikansk TV-journalist. Kontroversiell.,manual_clio
UAP-PRS-yturriagarzasant-0127,person,Santiago,Yturria Garza,researcher,,,,,aerial;historical;latin_america,es,Mexico,Monterrey,2,,,,Mexikansk UAP-historiker.,manual_clio
UAP-PRS-clementecarlos-0128,person,Carlos,Clemente,researcher,,,,,aerial;historical;latin_america,es,Argentina,Buenos Aires,2,,,,Argentinsk UAP-historiker.,manual_clio
UAP-PRS-marioquique-0129,person,Quique,Mario,researcher,,,,,aerial;latin_america,es,Argentina,,2,,,,Argentinsk UFO-forskning.,manual_clio
UAP-PRS-suchodolertal-0130,person,Tal,Suchodoler,researcher,,,,,aerial;middle_east,he,Israel,,2,,,,Israelsk UAP-forskning.,manual_clio
